index,cities,Lat,Temperature,Humidity,Cloudiness (%),Wind Speed (mph)
0,hithadhoo,-0.6,82.27,100,92,11.56
1,ushuaia,-54.81,51.8,43,40,9.17
2,tibiri,13.59,69.13,40,0,5.19
3,danielskuil,-28.19,51.35,28,0,6.98
4,esperance,10.24,82.4,83,20,9.17
5,arraial do cabo,-22.97,77.68,74,75,6.93
6,chokurdakh,70.62,-0.58,78,64,3.18
7,mataura,-46.19,65.17,76,80,23.42
8,lavrentiya,65.58,36.37,100,0,25.77
9,nome,30.04,69.39,40,1,9.17
10,shingu,33.72,62.42,100,92,13.8
11,anshun,26.25,39.11,81,0,5.64
12,venado tuerto,-33.75,77.5,75,20,6.42
13,black river,18.03,89.6,62,20,17.22
14,juneau,58.3,37.11,89,75,2.73
15,hermanus,-34.42,55.04,65,8,4.41
16,busselton,-33.64,57.07,100,0,11.12
17,new norfolk,-42.78,44.6,75,20,17.22
18,banjar,-7.37,71.02,96,68,2.17
19,cap-aux-meules,47.38,41,86,90,10.29
20,vaini,15.34,73.9,80,64,4.74
21,kaeo,-35.1,63.68,59,0,13.02
22,rikitea,-23.12,73.04,100,92,16.82
23,avera,33.19,66.99,88,75,6.93
24,jamestown,-33.21,54.77,93,80,7.99
25,boma,11.23,79.07,54,8,7.54
26,klaksvik,62.23,42.8,81,92,14.99
27,upernavik,72.79,19.9,100,76,6.42
28,leningradskiy,69.38,20.12,100,80,8.21
29,punta arenas,-53.16,57.2,50,40,9.17
30,dwarka,28.58,71.6,64,20,5.82
31,marzuq,14.4,50.63,68,0,1.61
32,longido,-2.73,64.04,91,76,2.51
33,tasiilaq,65.61,26.6,58,5,3.36
34,kabin buri,13.95,67.33,69,0,4.74
35,ilulissat,69.22,12.2,56,75,21.92
36,tongliao,43.61,46.49,75,0,14.03
37,ust-nera,64.57,-4.18,69,64,2.17
38,bluff,-23.58,66.97,79,0,7.09
39,tiksi,71.64,-8.01,62,8,4.63
40,presidente epitacio,-21.76,89.2,55,12,3.18
41,bandarbeyla,9.49,78.62,100,0,10.22
42,puerto ayora,-0.74,77,65,75,4.7
43,kharan,28.58,45.1,72,0,5.53
44,kozhva,65.11,27.05,92,76,3.85
45,torbay,47.66,44.6,70,75,6.93
46,kampene,-3.59,66.65,98,48,2.06
47,havre-saint-pierre,50.23,39.2,86,75,3.96
48,faanui,-16.48,78.4,100,92,14.14
49,qaanaaq,77.48,0.37,100,0,7.99
50,songea,-10.68,77,50,5,10.29
51,cazones,20.72,66.2,100,90,13.87
52,dickinson,46.88,41,64,90,8.05
53,axim,4.87,80.78,100,36,8.88
54,ancud,-41.87,84.2,66,75,5.19
55,victoria,5.28,79.68,83,75,3.36
56,uyar,55.81,20.8,62,64,14.25
57,trairi,-3.28,80.78,100,8,18.39
58,hilo,19.71,71.06,66,1,4.7
59,puerto baquerizo moreno,-0.9,75.2,73,75,10.29
60,thompson,55.74,21.2,79,75,5.82
61,touros,-5.2,79.88,81,0,13.47
62,cape town,-33.93,64.4,63,0,8.05
63,kapaa,22.08,80.56,74,90,13.87
64,narsaq,60.91,23,67,40,1.12
65,luanda,-8.83,76.15,91,0,4.74
66,port alfred,-33.59,63.1,87,0,17.49
67,penzance,50.12,50.09,76,20,11.41
68,saskylakh,71.97,2.17,77,56,6.87
69,totness,33.74,69.19,90,90,3.36
70,barrow,-38.31,53.87,96,88,13.8
71,bras-panon,-21,73.4,73,0,6.93
72,bambous virieux,-20.34,75.2,83,40,6.93
73,nazilli,37.91,45.41,80,0,1.95
74,ende,-8.84,81.05,100,12,2.39
75,doha,25.29,82.4,54,0,6.93
76,luderitz,-26.65,62.6,63,20,1.12
77,atuona,-9.8,80.65,100,0,13.8
78,espanola,46.27,38.62,78,32,8.77
79,portland,45.52,61.45,60,75,12.75
80,hobart,-42.88,44.6,75,20,17.22
81,chuy,-33.69,64.04,74,24,14.81
82,vagur,61.47,46.22,100,92,32.59
83,vao,59.1,49.64,93,80,10
84,avarua,-21.21,78.8,69,40,12.75
85,lebu,8.96,60.8,51,20,12.75
86,castro,-42.48,84.2,66,75,3.74
87,naze,5.43,73.4,100,75,3.4
88,sorong,-0.86,79.7,100,0,1.39
89,lompoc,34.64,80.94,56,1,4.29
90,berlevag,70.86,37.99,69,0,27.51
91,mehamn,71.03,39.97,60,0,25.28
92,boende,-0.28,69.98,99,12,2.39
93,zhanaozen,43.35,25.48,71,0,6.42
94,mahebourg,-20.41,75.2,83,40,6.93
95,thunder bay,48.41,39.2,80,90,3.29
96,krasnyy chikoy,50.36,8.87,65,24,2.28
97,mount isa,-20.73,73.4,78,48,4.7
98,san carlos,9.66,83.8,71,80,3.85
99,namatanai,-3.66,80.83,100,92,7.2
100,wajima,37.4,47.08,100,20,1.95
101,ribeira grande,38.52,69.8,94,40,13.87
102,marshall,39.39,50.16,61,75,8.05
103,marathon,48.72,35.6,51,90,3.36
104,bud,62.91,43.41,75,75,3.36
105,myitkyina,25.38,63.82,90,0,2.06
106,filottrano,43.44,57.87,93,40,2.28
107,kirkenes,69.73,34.63,92,0,17.22
108,airai,-8.93,66.02,91,32,1.72
109,caibarien,22.52,89.6,49,75,5.82
110,tiarei,-17.53,84.2,62,40,9.17
111,gaomi,36.37,44.6,93,0,2.24
112,traverse city,44.76,42.4,53,90,4.7
113,nikolskoye,59.7,44.6,93,90,4.47
114,albany,42.65,60.08,86,90,4.52
115,erzin,36.95,62.6,72,0,3.36
116,eydhafushi,5.1,82.72,100,8,5.64
117,alta floresta,-9.87,83.8,76,64,1.16
118,buala,-8.15,82.4,91,92,10.56
119,ballina,54.11,46.4,100,90,23.04
120,kailua,21.39,78.66,94,40,3.36
121,pershotravneve,50.29,45.37,75,88,10.67
122,mar del plata,-46.43,57.97,63,56,7.99
123,vostok,46.45,17.42,70,0,3.18
124,alegrete,-29.79,83.53,66,80,7.31
125,asyut,27.18,71.6,37,0,17.22
126,nerchinskiy zavod,51.31,15.67,54,48,4.52
127,port hardy,50.7,53.6,81,75,10.29
128,yellowknife,62.45,26.6,92,90,12.75
129,newport,51.59,47.35,81,56,5.82
130,norman wells,65.28,8.6,92,75,3.06
131,inyonga,-6.72,63.32,96,88,3.06
132,mount pleasant,33.16,68.72,37,1,10.29
133,egvekinot,66.32,14.05,92,88,2.62
134,sibolga,1.74,67.78,100,76,2.17
135,atyrau,47.1,24.8,79,0,3.18
136,lakeway,30.36,72.57,32,1,8.05
137,butaritari,3.07,84.88,100,8,11.01
138,alofi,-19.06,73.27,100,88,16.71
139,silver city,32.77,62.6,25,1,8.05
140,ust-tsilma,65.44,25.48,95,80,3.18
141,kodiak,39.95,50,71,90,8.05
142,khatanga,71.98,1.85,79,64,12.24
143,port elizabeth,39.31,69.82,81,40,5.82
144,kokstad,-30.55,46.9,96,80,2.62
145,saint-pierre,48.95,42.19,86,0,8.05
146,pilot butte,50.48,33.8,80,90,16.11
147,sisimiut,66.94,10.45,100,80,3.74
148,urut,41.07,41,100,40,17.22
149,diffa,13.32,70.25,33,12,5.08
150,artyom,43.36,30.2,92,0,4.47
151,cayenne,4.94,86,66,75,11.41
152,montepuez,-13.13,77.9,50,8,10
153,lasa,34.92,65.46,59,0,6.93
154,xinzhi,22.54,68.59,100,20,2.24
155,bayir,37.27,53.6,81,0,4.7
156,ocos,14.51,87.71,55,20,9.17
157,ostrovnoy,68.05,25.7,92,36,9.22
158,bredasdorp,-34.53,60.8,67,0,18.34
159,dawei,14.07,68.5,71,0,3.18
160,brae,60.4,44.1,80,36,11.41
161,tra vinh,9.93,80.38,87,32,4.74
162,benguela,-12.58,75.74,100,0,5.97
163,longyearbyen,78.22,23,67,75,20.8
164,novyy urgal,51.07,30.7,81,48,5.97
165,mezhdurechenskiy,59.59,28.13,82,20,6.98
166,sovetskaya gavan,48.97,42.08,94,8,8.55
167,yulara,-25.24,84.2,37,40,9.17
168,cabedelo,-6.97,82.4,69,75,12.75
169,ambon,47.55,44.6,81,0,3.36
170,pokhara,28.21,47.75,74,32,2.62
171,san quintin,17.54,69.35,85,0,3.4
172,east london,-33.02,64.9,100,48,15.37
173,aksarka,66.56,0.82,63,0,6.08
174,san roque,0.3,59.72,83,88,1.72
175,ankpa,7.37,76.15,94,76,4.85
176,carnarvon,-30.97,45.86,20,0,5.64
177,skelleftea,64.75,37.4,100,90,2.24
178,matagami,9.67,68.45,95,24,4.41
179,fergus falls,46.28,41.72,70,90,3.36
180,okhotsk,59.36,18.14,100,88,5.19
181,sikonge,-5.63,77,61,40,4.74
182,auburn,32.61,57,76,90,16.11
183,fortuna,38.18,62.6,51,0,3.36
184,bima,-8.45,73,100,20,3.62
185,geraldton,49.72,35.6,55,90,3.18
186,atar,20.52,67.82,46,0,7.31
187,sungaipenuh,-2.08,67.37,98,92,1.5
188,hervey bay,-25.3,74.17,94,48,6.53
189,tshane,-24.02,69.26,10,0,11.01
190,palmeira,-25.43,71.02,86,56,3.4
191,kahului,20.89,79.86,60,20,12.75
192,baghdad,33.3,68,45,44,3.36
193,juegang,32.31,59,94,92,11.34
194,petropavlovsk-kamchatskiy,53.05,24.8,79,0,2.24
195,sinnamary,5.38,81.55,96,24,6.76
196,sitka,37.17,58.91,34,24,7.65
197,yuncheng,35.03,36.37,84,0,2.84
198,bam,29.11,45.41,47,0,9.89
199,rumphi,-11.02,65.84,66,0,4.97
200,clyde river,70.47,10.4,78,75,9.17
201,punta alta,-27.46,83.1,66,75,9.17
202,nizhniy baskunchak,48.22,28.49,83,0,6.42
203,lodwar,3.12,77.36,61,0,7.99
204,kavieng,-2.57,78.71,100,80,3.85
205,talnakh,69.49,-8.19,63,32,3.51
206,nantucket,41.28,62.28,96,90,16.11
207,calabozo,8.92,86.63,65,48,10.45
208,isangel,-19.55,74.35,100,32,26.33
209,college,64.86,1.71,84,1,5.19
210,nanortalik,60.14,29.57,90,44,8.1
211,dikson,73.51,21.56,100,44,4.52
